altitude,groundspeed,pitch,roll,heading,windSpeed,windDirection
1840.0,132.375,0.07690200209617615,-0.18676246936035312,-179.3189852919922,15.937503814697266,-103.35938
1836.0,132.0,-5.075533526489259,-1.120571749755861,-179.11026031640625,15.937503814697266,-103.35938
1832.0,131.625,-5.075533526489259,-1.2194467955322281,-178.87954742578125,15.937503814697266,-103.35938
1829.0,131.625,-5.064547198364259,-1.2304331236572281,-178.65434295800782,15.937503814697266,-103.35938
1826.0,131.25,-5.064547198364259,-1.1864878111572281,-178.41264373925782,15.937503814697266,-103.35938
1822.0,131.0,-5.053560870239259,-1.164517062255861,-178.22587616113282,15.937503814697266,-103.35938
1818.0,131.0,-5.042574542114259,-1.153530734130861,-178.03363067773438,15.937503814697266,-103.35938
1813.0,130.625,-5.031588213989259,-1.164517062255861,-177.83587677148438,15.937503814697266,-103.35938
1810.0,130.625,-5.020601885864259,-1.1974741392822281,-177.58869964746094,15.937503814697266,-103.35938
1806.0,130.5,-4.998631136962892,-1.2304331236572281,-177.37995941308594,15.937503814697266,-103.35938
1802.0,130.25,-4.976658480712892,-1.2633902006835953,-177.1767276015625,15.937503814697266,-104.062505
1797.0,130.25,-4.943701403686525,-1.2963491850585953,-176.9130557265625,15.937503814697266,-104.062505
1793.0,130.0,-4.899756091186525,-1.3293062620849625,-176.6713565078125,15.937503814697266,-104.062505
1789.0,130.0,-4.855812686035158,-1.3622652464599625,-176.43516571191407,15.937503814697266,-104.062505
1784.0,130.0,-4.800882952758791,-1.3952223234863297,-176.22093231347657,16.933597564697266,-104.062505
1781.0,129.875,-4.745953219482423,-1.4831110411376969,-175.99023468164063,16.933597564697266,-104.062505
1776.0,129.875,-4.691023486206056,-1.6039568358154312,-175.82543975976563,16.933597564697266,-104.76563
1772.0,129.875,-4.647078173706056,-1.7357889586181656,-175.68811065820313,15.937503814697266,-104.76563
1769.0,129.75,-4.592148440429689,-1.8786074095459,-175.5453036513672,15.937503814697266,-104.76563
1764.0,129.75,-4.559191363403322,-2.0214239531250016,-175.3695224013672,15.937503814697266,-104.76563
1759.0,129.75,-4.537218707153322,-2.164242404052736,-175.2157138076172,15.937503814697266,-104.76563
1755.0,129.625,-4.526232379028322,-2.2850881987304703,-175.06741363671875,15.937503814697266,-104.76563
1751.0,129.625,-4.548205035278322,-2.3729769163818375,-174.90811187890625,15.937503814697266,-104.76563
1746.0,129.5,-4.592148440429689,-2.4059339934082047,-174.69937164453125,15.937503814697266,-104.76563
1743.0,129.5,-4.669050829956056,-2.4169203215332047,-174.50163299707032,15.937503814697266,-104.76563
1738.0,129.375,-4.745953219482423,-2.3729769163818375,-174.29838592675782,15.937503814697266,-104.76563
