altitude,groundspeed,pitch,roll,heading,windSpeed,windDirection
1537.0,118.25,-0.856909411499025,-0.07690300280761875,-54.52901489404297,17.929691314697266,-27.42188
1531.0,118.25,-5.383141177246095,-0.9338098936767594,-54.64985687402344,15.937503814697266,-25.312505
1532.0,117.875,-5.240322726318361,-0.7909933500976578,-54.74324066308594,16.933597564697266,-26.718755
1529.0,117.875,-5.130463259765627,-0.845923083374025,-54.84211761621094,16.933597564697266,-26.718755
1525.0,117.5,-5.020601885864259,-0.9777552061767594,-54.96295959619141,16.933597564697266,-28.82813
1522.0,117.125,-4.866799014160158,-1.120571749755861,-55.07831604150391,17.929691314697266,-30.23438
1520.0,117.125,-4.745953219482423,-1.527054446289064,-55.14971954492188,17.929691314697266,-31.64063
1513.0,116.75,-4.756939547607423,-2.175228732177736,-55.20465118554688,17.929691314697266,-31.64063
1512.0,116.5,-4.910742419311525,-2.7794596129150406,-55.28704864648438,17.929691314697266,-33.04688
1510.0,116.5,-5.042574542114259,-3.196926730224611,-55.46282226708985,16.933597564697266,-33.04688
1507.0,116.375,-5.086517947265627,-3.273829119750978,-55.71000702050782,15.937503814697266,-33.750005
1504.0,116.375,-5.031588213989259,-2.933262484619142,-55.957191773925786,16.933597564697266,-36.562505
1502.0,116.25,-4.932715075561525,-2.241144793579103,-56.067055055175786,15.937503814697266,-35.85938
1497.0,116.0,-4.811869280883791,-1.527054446289064,-56.105507203613286,14.941410064697266,-34.45313
1495.0,116.0,-4.658064501831056,-0.7690206938476578,-56.111000367675786,14.941410064697266,-35.156255
1492.0,116.0,-4.4383455687255875,-0.15380539233398594,-56.100014039550786,15.937503814697266,-35.156255
1488.0,116.0,-4.152708666870119,0.26366400718688965,-56.012123414550786,16.933597564697266,-35.156255
1486.0,116.0,-3.845101016113283,0.5712720155715942,-55.81437713769532,18.925785064697266,-35.156255
1485.0,115.75,-3.603409426757814,0.9228240251541138,-55.57817871240235,17.929691314697266,-31.64063
1482.0,115.75,-3.4825636320800797,1.1315580606460571,-55.33099395898438,17.929691314697266,-29.531255
1481.0,115.625,-3.4056612425537125,1.2853620052337646,-55.21563751367188,17.929691314697266,-28.125005
1480.0,115.375,-3.3397451811523453,1.2853620052337646,-55.13324005273438,17.929691314697266,-28.125005
1477.0,115.375,-3.218899386474611,1.0766279697418213,-55.02338440087891,17.929691314697266,-26.718755
1473.0,115.25,-3.0541082792968766,0.7140899896621704,-54.86408264306641,19.921878814697266,-28.82813
1470.0,115.0,-2.856360095092775,0.2197200059890747,-54.73225433496094,17.929691314697266,-25.312505
1463.0,115.0,-2.7135435515136734,-0.2746511870117203,-54.62239105371094,18.925785064697266,-24.60938
1466.0,114.625,-2.6036821776123062,-0.7250772886962906,-54.56197387841797,20.9179744720459,-28.125005
1463.0,114.625,-2.493822711059572,-1.0326849394531266,-54.64985687402344,21.9140682220459,-28.82813
1465.0,114.375,-2.3510042601318375,-1.2853628569335953,-54.89154846337891,20.9179744720459,-30.23438
1459.0,114.0,-2.186215060302736,-1.4391657286376969,-55.18267852929688,20.9179744720459,-31.64063
1456.0,114.0,-2.0104395323486344,-1.4831110411376969,-55.44634277490235,19.921878814697266,-33.04688
1454.0,113.75,-1.7797323637695328,-1.4171949797363297,-55.71000702050782,17.929691314697266,-32.343755
1450.0,113.5,-1.560013430664064,-1.2524038725585953,-55.885780641113286,18.925785064697266,-35.156255
1446.0,113.5,-1.3732515745849625,-0.9447962218017594,-56.045082398925786,20.9179744720459,-40.07813
1447.0,113.25,-1.2194467955322281,-0.5932451658935562,-56.259308167968754,22.9101619720459,-42.89063
1448.0,113.25,-1.120571749755861,-0.2636648588867203,-56.58339721826172,23.9062557220459,-46.406255
1449.0,112.875,-1.0656420164794937,-0.16478981311035312,-56.85804779199219,22.9101619720459,-47.812505
1453.0,112.625,-1.0766283446044937,-0.14281906420898594,-57.13269836572266,20.9179744720459,-49.92188
1451.0,112.625,-1.175503390380861,-0.14281906420898594,-57.4018481459961,16.933597564697266,-50.625005
1449.0,112.375,-1.4721247130126969,-0.14281906420898594,-57.68199188378907,14.941410064697266,-53.437505
1443.0,112.375,-1.8236757689209,-0.2966219359130875,-57.78636200097657,15.937503814697266,-56.250005
1439.0,112.375,-2.0543829375000016,-0.4394403868408219,-57.78636200097657,16.933597564697266,-56.95313
1439.0,112.375,-2.164242404052736,-0.5273291044921891,-57.74241668847657,18.925785064697266,-56.95313
1437.0,112.375,-2.186215060302736,-0.4723993712158219,-57.65452606347657,20.9179744720459,-56.95313
1438.0,112.25,-2.0983263426513687,-0.20873512561035312,-57.5611499038086,18.925785064697266,-57.656255
1435.0,112.125,-1.9774805479736344,0.1867620050907135,-57.4403002944336,21.9140682220459,-57.656255
1435.0,112.125,-1.9005781584472672,0.45042601227760315,-57.33044464257813,21.9140682220459,-57.656255
1434.0,112.125,-1.8236757689209,0.5712720155715942,-57.18212921289063,20.9179744720459,-57.656255
1433.0,112.0,-1.7248026304931656,0.5383139848709106,-57.00635559228516,18.925785064697266,-56.95313
1433.0,112.0,-1.6259294920654312,0.48338401317596436,-56.69325287011719,16.933597564697266,-54.843755
1435.0,111.875,-1.538040774414064,0.4723980128765106,-56.187897035156254,21.9140682220459,-53.437505
1428.0,111.875,-1.4281813078613297,0.5053560137748718,-55.70451385644532,21.9140682220459,-49.92188
1423.0,111.875,-1.3402925902099625,0.4943700134754181,-55.17718536523438,22.9101619720459,-47.10938
1420.0,111.75,-1.2633902006835953,0.5053560137748718,-54.64985687402344,22.9101619720459,-44.29688
